Video Başlığı,Yorum ID,Yorum Metni,Nihai_Etiket,etiket_id,Beğeni Sayısı,Yanıt Mı?,XLM_Roberta_Etiketi,XLM_Roberta_Confidence,Kural_Etiketi
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugxoeu-neVZUv20Lt6V4AaABAg,Oha yeni gördüm Resmen bedavadan 2 saat stand up,olumlu,0,7,Hayır,positive,0.4162,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwaOm65cWdku-6XWiF4AaABAg,yaşlılara saygı lazım gençlere böyle örnek olunmaz dislike,olumsuz,1,1,Hayır,negative,0.8317,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgxV9YqpmoG1DPLFqPR4AaABAg.AUepjvxso1CAUhz1A7Ta4_,<kullaniciadi> lan ne alakası var güzele çirkin mi diyelim,olumsuz,1,2,Evet,negative,0.5569,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgzgR7_GZsSywT_zc4h4AaABAg,Bir sonraki ekip orkun enes ali mesut rıdvan,nötr,2,0,Hayır,neutral,0.6667,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgyjmOKxu80-wvC9sgx4AaABAg,Gerçekten gülmekten karnıma ağrılar girdi Şu günlerde bu kadar güldürmeyi başaran açık mutfak ekibine ÇOKK teşekkür ederiz🎉🎉,olumlu,0,0,Hayır,positive,0.8945,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgxjTeOjeUsUpIbM5a14AaABAg,Cem yılmaz en İyilerden en İYISII,olumlu,0,6,Hayır,positive,0.8918,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgzmhQO2l-D8xB7dSLB4AaABAg,gerçekten hiçbir yerde ne otel ne restoran salata yapılırken eldiven kullanılmaz dümdüz el ile dokunulur tabi şansınıza göre hijyenikliği değişir 😂😂,nötr,2,0,Hayır,neutral,0.4957,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgxkqSigiz4n3cERz054AaABAg,SÜPERDİ keşke bitmeseydi Bence Mert kesinlikle hak etti bir de son kısımda Taner abinin gönlünün alınması aşırı hoşuma gitti çünkü açık açık haksızlık yapılmıştı Başak ablayı da görünce sevindim videoya hafif bir renk katmış <3 2 sezon gelsin,şikayet,4,258,Hayır,positive,0.8512,şikayet
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgySRUazTZYORTwV6dV4AaABAg,Kesinlikle tekrar bir araya gelmelısınız çook eglenceli bir içerikli gönülden tebrik ediyorum ❤❤,olumlu,0,0,Hayır,positive,0.9252,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgwceNDwBvo6-oOBAOR4AaABAg,Denk gelebileceğiniz en eğlenceli sevecan bilgili tur rehberşne denk gelmişsiniz🫶🏻 Yeni yılda mükemmel bir turda bize rehberlik etmişti,olumlu,0,1,Hayır,positive,0.9199,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgzmgEZ561lC9V_6o_t4AaABAg,Ekip değişmesin limon yerine meto gelsin,öneri/tavsiye,3,0,Hayır,negative,0.7352,öneri/tavsiye
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgyI7ekdH1HD6OJ-dy94AaABAg,beni KOPARTTII HSHSHSGSHSHSGSHSHS,olumsuz,1,0,Hayır,negative,0.6119,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugw64CQLLmWHIOy1MbB4AaABAg.AUcelNFgrxJAUcqynx4X_T,harbili cok eglenceli seriydi devamı gelir umarım,olumlu,0,1,Evet,positive,0.9151,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugy2KiChE37VB2inypB4AaABAg,tam şu anda benim de kulak mememin birleşik olduğunu keşfettim açık mutfak öğretir,olumlu,0,0,Hayır,positive,0.4715,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwPIMyV99uMruz9BLp4AaABAg.AUc8r-lx7dfAUdKo-qUpLG,maalesef yarişmayi rrane kazandi ve 1 ay olmus bu video cekmezler,olumsuz,1,2,Evet,negative,0.74,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgyzVoSz2vvNAsYCbT94AaABAg,en çok güldüğüm açık mutfak bölümüydü gerçekten hatta içtenlikle en çok güldüğüm ve keyif aldığım videoydu iyiki varsınız,olumlu,0,2,Hayır,positive,0.9009,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugwh7y1VzHczJW2BZ8h4AaABAg,Cem Yılmaz olsaydım akademi açardım bilgilerimi paylaşırdım,nötr,2,0,Hayır,neutral,0.5999,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugw67IlamVl8_4nPfo94AaABAg,Enis olsa kesin seyredılır Normalde hiç seyretmem Hiç kımseyı,olumsuz,1,0,Hayır,negative,0.3633,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgyGjRQ1gyRzCzvtJKB4AaABAg,Melis bu kadar komik mi her söylediği abi YAA ne kadar çok kahkaha atıyosun dkfkgm,olumsuz,1,5,Hayır,negative,0.4964,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgzGhjg9_HFG_KbR-CR4AaABAg,Ramazanda Sahur BEKLIYORUZZ Katılanlar Beğensinn,nötr,2,2,Hayır,neutral,0.4619,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugz44vYtgHXmsBr4-QR4AaABAg.ARsGD-PEYBkAS-iHSGJw7i,O kim ya,nötr,2,0,Evet,neutral,0.5134,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugzva4Suo10Q5Rjdxuh4AaABAg,İyi yürekli insanlar hep olsun ve çoğalsın Enis iyiki varsın,olumlu,0,0,Hayır,positive,0.905,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugw_EFdQZ-qvO5Dqm494AaABAg,Tugbanin travma hamuru,olumsuz,1,0,Hayır,negative,0.7586,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgyRZd3XW_wCGSEZGtx4AaABAg,Yine bedava Cem Yılmaz,nötr,2,0,Hayır,neutral,0.5608,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgzxlaZ_fWK4xjS4sUZ4AaABAg,Açık mutfak setisi bide arif olsa hepsinden daha çok izlenir ❤❤,olumlu,0,0,Hayır,positive,0.8114,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugyhg6ra39XvMk6aM6d4AaABAg,En iyi program buydu bence çok eğlenceliydi,olumlu,0,0,Hayır,positive,0.94,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgxoJ7A6KbRBtHBy1sV4AaABAg,Enis çok degerli bir insan Cok naif insallah kıymetini bilen bir hanımla musmutlu bir ömür gecirir harika bir baba olur❤😊,olumlu,0,5,Hayır,positive,0.9082,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugw2rj67mFgvSUq9Emd4AaABAg,hangi skeç lütfen biri yazsın,nötr,2,0,Hayır,neutral,0.7365,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugx_SDIuayTKCXLEiCZ4AaABAg,2 saat ücretsiz Cem Yılmaz gösterisi için teşekkür ederiz Melis Hanım dolaptan fıstıkları çıkartıp izleyeceğim bu gece,olumlu,0,"1,4 B",Hayır,positive,0.9156,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgyikHoLXK6zMDkzm4Z4AaABAg.ARoKQdpuXy1ARop7ZoDKe-,Gerçekten toplumumuz şu ara nereden neyi cımbızlayıp linçleyebilirim hatta cimere şikayet edebilirim diye arıyor dikkat kesiliyor Sadece linç değil hapse atılmalara varan korkunç sonuçlar var hepimizin malumu İnsanlar şunun farkında değil bu insanları bu kadar sıkıştırdıklarında bu insanlar da mecbur değil konuşmayacaklar Sadece güvenli konularda konuşan sıkıcı insanlarla baş başa kalacağız Tvler zaten boş gazetecileri kaçıralım komedyenleri kaçıralım kim ne diyecek biz ne dinleyecez Biraz empati kurmak gerekiyor hangimiz yanlış anlaşılabilecek şeyler söylemiyoruz ülkenin yarısı anadilini konuşamıyorken milletin ağzından açığını arıyor ne korkunç Uzattım affedin,şikayet,4,12,Evet,negative,0.8622,şikayet
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,Ugw0y8mv7EGUPW6MM8B4AaABAg,abi sen zamaninda cemreye inanmis insansın pek güvenemiyorum ama inşallah çok mutlu olursun her şeyin en iyisine layıksın,olumlu,0,0,Hayır,positive,0.8739,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugw45Y8O8sfXnzs92k94AaABAg.ARrJik0fgp7ARw9pHtTUvk,Ya bi birak git be kardesim 30 sene gosteri yapan bi adamın da sahneye dün baslamis bir adamın ön gösterisine cikacak degil ya Herkes yerini haddini bilsin cem yilmaz hakli nokta,olumsuz,1,5,Evet,negative,0.5955,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugz715cCZRv47n9wJDp4AaABAg,Çook iyiydi devamını bekliyoruzz,olumlu,0,0,Hayır,positive,0.9316,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgwSRsreuvw9fHi_KzJ4AaABAg,Neden sürekli hep nefes alışı falan,olumsuz,1,0,Hayır,negative,0.8178,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgxPjhHrAy1aQELcAJ94AaABAg,Ben küfürbazım diyordu Neden hiç küfürlü konuşmadı ?? Demekki isteyince oluyor Eski gösterilerdede küfür yoktu Son iki gösteri 70 defa AMK demiş Amerikalılar Fuck deyince yakışıyorda bizimkiler AMK deyince olmuyor,olumsuz,1,1,Hayır,negative,0.8596,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugy77ybYF1lj46pwIHV4AaABAg,yorumları okuyunca kız nasıl itici gülüyor acaba diye merak edip bir kısmını izledim alakası yok aq melis hanım gayet kendi halinde gayet samimi bence ?,olumlu,0,0,Hayır,positive,0.3937,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgxfPIEHtHJw4dUpLsx4AaABAg,Tuğba nın içinde UYY seni benim oğlanla evlendiriyim GUZUUM teyze varr,olumlu,0,0,Hayır,positive,0.5655,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgzkPbQvbbXXVg-w_T14AaABAg,Mısırı niye unuttunuz 😅 garibim arkada tezgahta tek kaldı nfjfjf,olumsuz,1,0,Hayır,negative,0.8508,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugxnp3bb6esP46XorHZ4AaABAg,şu adamı sevmeyenlerin çok ezik olduğunu düşnüyorum çok sıradan bir insan olmama rağmen yine de çağı asla bırakmıyorum bu herif hiç tanışmadığımız ama ilk andan beri arkadaşımız olmayı başarmış müthiş samimi akılcı bir deha,olumsuz,1,8,Hayır,negative,0.7363,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugygn3m_NtDXjYXj1ml4AaABAg,YAA son gösteriden daha komikti program teşekkürler😂,olumlu,0,0,Hayır,positive,0.9235,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgynvbUD_MFDZVDw3gh4AaABAg,Cem abi niye çeyrek altından kolye takmış,olumsuz,1,0,Hayır,negative,0.6734,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgxlHHMzjEk3kmmMZZx4AaABAg,Hiç yorum yapmam öyle ama ENISS muhteşemsin seni çok seviyorum ❤❤,olumlu,0,0,Hayır,positive,0.901,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgxOWGibqx4zA00koyJ4AaABAg,Umarım bu videoyu Mesut Can Tomay izlemiştir ve tahtın sahibini görmüştür 😄,nötr,2,0,Hayır,neutral,0.4634,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugxw0wy6ixiwBL0xDNN4AaABAg,Netflix de yayınlanmalık vallaha,olumsuz,1,1,Hayır,negative,0.7391,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugz0A9M9PUpfTQwE4Al4AaABAg.AVzaXjYk8RKAVzdDCPtfyE,3x te filan izleniştir,olumsuz,1,0,Evet,negative,0.3709,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwYdp3YI_MujjgZh3J4AaABAg,Ekipte ki tek kadın olmasına rağmen o kadar iyi götürdü ki cok hoştu aşırı rahat hissettirdi ve aşırı ağır ve hanımefendiydi Teşekkürler limon,olumlu,0,477,Hayır,positive,0.9224,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugx0J4TnqexzbG_iNut4AaABAg,oturuşa bak 😅😅,nötr,2,0,Hayır,neutral,0.579,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugwi848d5b5p6znpdPR4AaABAg,O bilir kendini 😂,nötr,2,0,Hayır,neutral,0.4643,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugx_EvqofJAlxR6i5gZ4AaABAg,Emir magnet yarışmasını kazanmış çocuğun konuşmasını neden koymadınız,olumsuz,1,0,Hayır,negative,0.6366,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgwfGuo1D4oRXOyGSvN4AaABAg,Kim ne derse desin ülkenin en önemli sanat adamlarından biridir Cem Yılmaz! Günümüzde her alanda pespayeligin vasatligin hüküm sürdüğü bir dönemde iyi ki var ve yeniden sahnede!,olumlu,0,108,Hayır,positive,0.8945,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgxWnV1UrTF7tvi94r14AaABAg,ENN iyi programın melis yemin EDERIMM,olumlu,0,0,Hayır,positive,0.9199,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUh2MwQDVXs,2 SEZOMU HALLEDİN,olumsuz,1,0,Evet,negative,0.4706,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgzWhgLoQSy5ajQ4wp54AaABAg,içi boş 😂2,olumsuz,1,0,Hayır,negative,0.6777,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgxWbQozGbV0r-B3hBF4AaABAg,Bence cemile ablanın gelmediği bölümlerde de cemile ablanın annesi videoya bağlanıp tarif vermeli öbür türlü hiç güven vermiyo yemek,olumsuz,1,2,Hayır,negative,0.7064,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugz4kdXQB3-pumzX-Ft4AaABAg,Emre aslan ve cemre solmaz gelsin,öneri/tavsiye,3,0,Hayır,neutral,0.554,öneri/tavsiye
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,Ugwlr81rDEUyxFRRdlJ4AaABAg,cemile yemek hakkinda bisi diyor emre abiyse tamam o sirada size bisi anlaticam xckmsxowkms😂,nötr,2,0,Hayır,neutral,0.542,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgzGc75yCC1lbX8Bp0d4AaABAg,evett Karaman ❤,olumlu,0,0,Hayır,positive,0.6462,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugw_NhoG1MHn3thdK1V4AaABAg,Abi bunlarla yolculuğa çıkmak hiç istemezdim sürekli konuşuyorşar ve sürekli kamera ile uğraşıyorlar çok sinir bozucu bu kadar rahatsızlık vermeleri normal öi,olumsuz,1,0,Hayır,negative,0.9526,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgxysyzD7b4WJza1THl4AaABAg,Babasının sürekli espiri yapmaya çalışması çok yapay yapay duruyor tatsız oluyor,olumsuz,1,1,Hayır,negative,0.8291,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugwr80zQHeVGbPMnGK14AaABAg,yemek yiyeceğimi anlayıp video attığın icin teşekkürler abi,olumlu,0,14,Hayır,positive,0.7648,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugwd5Jzb434603x8KTd4AaABAg,Kral 🫅 Başka söze gerek yok!,olumlu,0,0,Hayır,positive,0.777,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugw85krV9WEnGvfnj8J4AaABAg,Uahahahwhahs çok iyi bölüm olmuş 😂😂,olumlu,0,0,Hayır,positive,0.903,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgyU8w0Pzy-GCNk5i8B4AaABAg.AERx9IuYJPnAESbBaYtErt,Bi başka ya bir annedir bizim için yeşim dursun,olumlu,0,2,Evet,positive,0.4829,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugyaive6bKUTEikiPzR4AaABAg,Aşırı samimi ve güzel video olmuşş,olumlu,0,0,Hayır,positive,0.9466,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgwRroDWkPeO4M9cW4N4AaABAg,Enis harika bir insansın 😍,olumlu,0,0,Hayır,positive,0.9421,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgxsiZFYxVFHY_p_rg14AaABAg,Star İnci 💔💔,olumsuz,1,0,Hayır,negative,0.881,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgxNzfO-ub2T-Q0lvaN4AaABAg,Çeşme suyunun içilebildiği yerde marketten alınan su hazır sudur bu arada çok da yaygın kullanılır bu tabir,nötr,2,3,Hayır,neutral,0.6771,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgwHhwkBUKfMKX8UGfR4AaABAg,Tuğba ablanın enerjisiyle Emre abinin şakalarıyla incinin tatlılıgıyla Gine mükemmel bir açık mutfak GELIYORR💗💗,olumlu,0,6,Hayır,positive,0.8882,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgxicfVMRWQnji6FAh94AaABAg,Artık her perşembe yeni bölüm gelmeyecek olması 😢 komedi ve samimiyet önde olduğu programlar hep hoşuma gitmiştir,olumlu,0,4,Hayır,positive,0.7093,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgxuBqWIR0aN9LT-L8R4AaABAg,Enisin konuşma tarzı Şükran ovalıya çok benziyor,olumlu,0,0,Hayır,positive,0.4005,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgyfolH9NFybsHmlpeV4AaABAg,Hiçbir videoda şu video kadar gülmedim Tuğba daha çok gelsinn,olumlu,0,2,Hayır,positive,0.5514,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgzXIfEfHrhuEOIphG14AaABAg,Tuğba nın gülüşünü gormeye geldim kdndkdndkdn,olumlu,0,584,Hayır,positive,0.6906,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugw00DEhVcXHj2uhpr14AaABAg.AStaxDaToeIAStb59U1T-Q,İnci ablayıda çok seviyorum❤,olumlu,0,1,Evet,positive,0.8921,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgwpHKv3jC7j0gUNEZ54AaABAg,Yurtdışına Erasmus projeleri ile gitmek isteyen bir öğrenciyim motive kaynağım oldu bu video neden bilmiyorum ama Teşekkürler!,olumlu,0,0,Hayır,positive,0.845,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgxTbzOIM4TV6fL-3iJ4AaABAg,En dusuk ve en pahali esc larida denesene,olumsuz,1,0,Hayır,negative,0.3875,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugzy4Q19vjHlAU8n38B4AaABAg.AUcIJAX7MOKAUcM-yS508m,nereye şenlik geldi sup layıp durdular birbirlerini geri kalan 3 yarışmacı boşuna emek verdiler,olumsuz,1,23,Evet,negative,0.4952,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUcJ4FLDYP1,Bu projenin 2 Sezonu gelirse kadro ekip değişmesin Projenin eylenceli ve öne çıkan yüzü Elraenn Raenee Eray,olumlu,0,0,Evet,positive,0.4751,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugy1GP7U4H-1lR4XRXN4AaABAg,Gülmekten ağladım,olumlu,0,0,Hayır,positive,0.7535,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwNpzLML-k5WDnY_wJ4AaABAg,kurgu ekibi gerçekten harika iş çıkarmış,olumlu,0,0,Hayır,positive,0.905,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgzcMX015dd2oZ9NbCx4AaABAg,Tuğba mükemmel bir kadınsın YAA 💖 gülmekten yaş geldi gözümden,olumlu,0,14,Hayır,positive,0.9255,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUdBJfv7kgE,Sezon 22 gelsin,öneri/tavsiye,3,0,Evet,neutral,0.5259,öneri/tavsiye
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugw0dEqgWLJ2rY3_KAd4AaABAg,En iyi program ❤❤,olumlu,0,0,Hayır,positive,0.9438,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugw9xTB1PdEaU_1LSvV4AaABAg,Abla o ne biçim gülmek,olumlu,0,0,Hayır,positive,0.7892,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugw8KsU6eq9R7O3ID4Z4AaABAg,Bu arada Taner abi merte normalde 6 paun verecekti jokeri duyunca düşük puan almasın diye 5 puan verdim dedi ama 10 4=6 paun yapıyor çok kral hareket bence helal olsun Taner abiye,olumlu,0,169,Hayır,positive,0.6423,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugxu-acyUYVzXYENLsF4AaABAg,Melis İşitenin ruh hastası gibi devamlı gülmesi aşırı sinir bozucu ve miğde bulanıdrıcı gerçekten,olumsuz,1,0,Hayır,negative,0.9513,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugwzb6z7Zwpi4xhu4op4AaABAg,Geri dönünn ne olurr 2 sezonda gelsin bu videoyu 6 izleyişim falan,öneri/tavsiye,3,4,Hayır,neutral,0.4319,öneri/tavsiye
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEPhysswr-h,Abla çok tatlısın çok iyisin seni çok seviyorum,olumlu,0,2,Evet,positive,0.916,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugx2OCTj9C09eifssaR4AaABAg,taner abi puana bile DNA sını koyuyor,nötr,2,46,Hayır,neutral,0.5977,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwO5qONj2c3jDehYPp4AaABAg,patladım,olumsuz,1,1,Hayır,negative,0.6072,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwVI2p56vhWG29wl514AaABAg,Cingöz abimi niye bırakmiyolar ya,olumsuz,1,0,Hayır,negative,0.892,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgyRYYfk4hJCLkN8gkx4AaABAg,Enis İn taner abiye kurulmasına patlıyorum her defasında DDd,olumsuz,1,0,Hayır,negative,0.5016,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUcgljAdMtQ,2 sezonm gelmesi lazımm LAZIMM,nötr,2,1,Evet,neutral,0.4029,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgxnLovF6dX9MrO5RdR4AaABAg,Yeni bölüm ne zaman abi😅😅,nötr,2,0,Hayır,neutral,0.7024,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugyv_PcwXiJH0NDY1zJ4AaABAg,Off Enis in şaka yollu hem programa hem Melis e sürekli sallamasından içim bayıldı Sonuna kadar gidemedim Gelmeseydin kardeşim Programın ilk bölümü değil ya bu Format da belli Melis in hali tavrı da belli Senin boş beleş ilkokul formatlı programından kat kat iyi bu arada Yordun be 🤦🏻‍♀️,olumsuz,1,0,Hayır,negative,0.4764,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgxYIBMvmxPyqba_St94AaABAg,AAA arkadaşlık ilişkilerinde enis arıkanmışım ben 😂😂,olumlu,0,0,Hayır,positive,0.48,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgwXRKL4rXBLxqGq0nt4AaABAg,Atakan abiye acıyı elinle yeme diyen emre abinin acıyı eliyle yemesi shshdh,olumsuz,1,0,Hayır,negative,0.504,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgyMWkc3Iv1tAJeF1ld4AaABAg,bu kadro başka yayıncıların evlerine gitsin,olumsuz,1,0,Hayır,negative,0.8056,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugwf31AN-7l1l62bNAx4AaABAg,Bulgurlu ıspanak da olur anneannem ve dedem hep öyle yaparlardı,nötr,2,0,Hayır,neutral,0.4607,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgymhN9KoXN1KztkLW94AaABAg,şu konsol oyun denen lavuk 50 kaç yaşınsa bilmiyorum ama hadi çocukken yemek eğitimi almadın sofra adabı görmedin de şu yaşına kadar hiç mi toplum içinde yemek yemedin yanımda şu yaptıklarının yarısını yapsa masadan kaldırırdım Yaş olarak en büyük olanın davranış olarak en şımarık olması şaşırttı doğrusu,olumsuz,1,1,Hayır,negative,0.7729,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgxqSnMF1poAhQj2KEl4AaABAg,patron gibi patron elleriyle doyuruyor helal sana orkun 😂🎉,olumlu,0,11,Hayır,positive,0.8136,
